Volume,Observed Pressure,Calculated Pressure
0.163029E-2,457583.,457659.
0.162710E-2,458465.,458454.
0.162392E-2,459325.,459248.
0.162075E-2,459972.,460042.
0.161760E-2,460947.,460835.
0.161446E-2,461426.,461628.
0.161133E-2,462260.,462420.
0.160821E-2,463202.,463213.
0.160511E-2,463830.,464004.
0.160202E-2,464808.,464796.
0.159894E-2,465548.,465587.
0.159587E-2,466527.,466377.
0.159281E-2,467320.,467167.
0.158976E-2,468022.,467957.
0.158673E-2,468879.,468746.
0.158371E-2,469567.,469535.
0.158070E-2,470484.,470324.
0.157770E-2,471200.,471112.
0.157471E-2,471958.,471899.
0.157173E-2,472925.,472687.
0.156877E-2,473308.,473474.
0.156581E-2,474031.,474260.
0.156287E-2,474953.,475046.
0.155994E-2,476021.,475832.
0.155702E-2,476470.,476617.
0.155411E-2,477508.,477402.
0.155121E-2,477984.,478186.
0.154832E-2,478986.,478971.
0.154544E-2,479907.,479754.
0.154257E-2,480656.,480538.
0.153972E-2,481320.,481320.
0.153687E-2,482208.,482103.
0.153404E-2,482863.,482885.
0.153121E-2,483477.,483667.
0.152840E-2,484531.,484448.
0.152559E-2,485035.,485229.
0.152280E-2,486212.,486009.
0.152001E-2,486565.,486789.
0.151724E-2,487594.,487569.
0.151448E-2,488513.,488348.
0.151172E-2,489029.,489127.
0.150898E-2,489926.,489905.
0.150624E-2,490764.,490683.
0.150352E-2,491288.,491461.
0.150081E-2,492083.,492238.
0.149810E-2,492811.,493015.
0.149541E-2,493564.,493792.
0.149272E-2,494732.,494568.
0.149005E-2,495466.,495343.
0.148738E-2,496187.,496118.
0.148473E-2,497108.,496893.
0.148208E-2,497796.,497668.
0.147944E-2,498502.,498442.
0.147682E-2,499062.,499215.
0.147420E-2,499897.,499989.
0.147159E-2,500600.,500761.
0.146899E-2,501574.,501534.
0.146640E-2,502483.,502306.
0.146382E-2,503195.,503077.
0.146124E-2,503656.,503849.
0.145868E-2,504486.,504619.
0.145612E-2,505199.,505390.
0.145358E-2,506413.,506160.
0.145104E-2,506899.,506929.
0.144851E-2,507517.,507698.
0.144599E-2,508709.,508467.
0.144348E-2,509413.,509236.
0.144098E-2,509988.,510004.
0.143849E-2,510817.,510771.
0.143601E-2,511391.,511538.
0.143353E-2,512329.,512305.
0.143106E-2,513044.,513072.
0.142860E-2,514093.,513837.
0.142615E-2,514420.,514603.
0.142371E-2,515477.,515368.
0.142128E-2,516057.,516133.
0.141885E-2,516933.,516897.
0.141643E-2,517586.,517661.
0.141403E-2,518273.,518425.
0.141162E-2,519346.,519188.
0.140923E-2,519761.,519951.
0.140685E-2,520854.,520713.
0.140447E-2,521450.,521475.
0.140210E-2,522306.,522237.
0.139974E-2,522966.,522998.
0.139739E-2,523746.,523758.
0.139505E-2,524380.,524519.
0.139271E-2,525279.,525279.
0.139038E-2,526131.,526038.
0.138806E-2,526651.,526797.
0.138574E-2,527431.,527556.
0.138344E-2,528166.,528314.
0.138114E-2,529310.,529072.
0.137885E-2,529961.,529830.
0.137657E-2,530596.,530587.
0.137429E-2,531323.,531344.
0.137202E-2,532272.,532100.
0.136976E-2,532911.,532856.
0.136751E-2,533703.,533611.
0.136527E-2,534525.,534366.
0.136303E-2,535130.,535121.
0.136080E-2,536074.,535875.
0.135857E-2,536492.,536629.
0.135636E-2,537170.,537383.
0.135415E-2,538072.,538136.
0.135195E-2,538843.,538889.
0.134975E-2,539592.,539641.
0.134756E-2,540592.,540393.
0.134538E-2,541327.,541144.
0.134321E-2,541755.,541895.
0.134104E-2,542501.,542646.
0.133888E-2,543508.,543396.
0.133673E-2,543981.,544146.
0.133459E-2,545050.,544896.
0.133245E-2,545840.,545645.
0.133032E-2,546188.,546393.
0.132819E-2,546937.,547142.
0.132607E-2,547636.,547889.
0.132396E-2,548375.,548637.
0.132186E-2,549509.,549384.
0.131976E-2,550158.,550131.
0.131767E-2,550945.,550877.
0.131558E-2,551628.,551623.
0.131350E-2,552118.,552368.
0.131143E-2,552987.,553113.
0.130937E-2,554043.,553858.
0.130731E-2,554398.,554602.
0.130525E-2,555266.,555346.
0.130321E-2,556312.,556089.
0.130117E-2,557017.,556832.
0.129914E-2,557575.,557575.
0.129711E-2,558231.,558317.
0.129509E-2,559278.,559059.
0.129307E-2,559699.,559800.
0.129107E-2,560313.,560541.
0.128907E-2,561258.,561282.
0.128707E-2,561983.,562022.
0.128508E-2,562577.,562762.
0.128310E-2,563405.,563501.
0.128112E-2,564322.,564240.
0.127915E-2,565184.,564979.
0.127718E-2,565914.,565717.
0.127523E-2,566205.,566455.
0.127327E-2,567193.,567192.
0.127133E-2,568194.,567929.
0.126938E-2,568951.,568666.
0.126745E-2,569134.,569402.
0.126552E-2,570034.,570138.
0.126360E-2,570675.,570873.
0.126168E-2,571541.,571608.
0.125977E-2,572125.,572343.
0.125786E-2,572811.,573077.
0.125596E-2,574037.,573811.
0.125407E-2,574590.,574544.
0.125218E-2,575513.,575277.
0.125030E-2,576303.,576010.
0.124842E-2,576700.,576742.
0.124655E-2,577553.,577474.
0.124468E-2,578134.,578205.
0.124282E-2,579039.,578936.
0.124097E-2,579631.,579666.
0.123912E-2,580520.,580397.
0.123727E-2,581094.,581126.
0.123543E-2,581581.,581856.
0.123360E-2,582717.,582585.
0.123177E-2,583447.,583313.
0.122995E-2,583803.,584041.
0.122813E-2,584604.,584769.
0.122632E-2,585379.,585496.
0.122452E-2,586276.,586223.
0.122272E-2,586781.,586950.
0.122092E-2,587508.,587676.
0.121913E-2,588386.,588402.
0.121735E-2,588971.,589127.
0.121557E-2,590094.,589852.
0.121379E-2,590480.,590576.
0.121202E-2,591412.,591300.
0.121026E-2,592065.,592024.
0.120850E-2,592586.,592747.
0.120674E-2,593269.,593470.
0.120500E-2,594455.,594193.
0.120325E-2,594731.,594915.
0.120151E-2,595358.,595637.
0.119978E-2,596258.,596358.
0.119805E-2,596818.,597079.
0.119633E-2,597931.,597799.
0.119461E-2,598565.,598519.
0.119289E-2,599060.,599239.
0.119118E-2,599788.,599958.
0.118948E-2,600679.,600677.
