X,Y
0.146101E+0009,0.171693E+0008
0.146090E+0009,0.172642E+0008
0.146079E+0009,0.173592E+0008
0.146068E+0009,0.174541E+0008
0.146057E+0009,0.175490E+0008
0.146046E+0009,0.176440E+0008
0.146034E+0009,0.177389E+0008
0.146023E+0009,0.178338E+0008
0.146012E+0009,0.179287E+0008
0.146000E+0009,0.180236E+0008
0.145989E+0009,0.181185E+0008
0.145977E+0009,0.182134E+0008
0.145965E+0009,0.183082E+0008
0.145954E+0009,0.184031E+0008
0.145942E+0009,0.184979E+0008
0.145930E+0009,0.185928E+0008
0.145918E+0009,0.186876E+0008
0.145906E+0009,0.187825E+0008
0.145894E+0009,0.188773E+0008
0.145882E+0009,0.189721E+0008
0.145870E+0009,0.190669E+0008
0.145858E+0009,0.191617E+0008
0.145845E+0009,0.192565E+0008
0.145833E+0009,0.193513E+0008
0.145821E+0009,0.194461E+0008
0.145808E+0009,0.195409E+0008
0.145796E+0009,0.196356E+0008
0.145783E+0009,0.197304E+0008
0.145770E+0009,0.198251E+0008
0.145758E+0009,0.199199E+0008
0.145745E+0009,0.200146E+0008
0.145732E+0009,0.201093E+0008
0.145719E+0009,0.202040E+0008
0.145706E+0009,0.202987E+0008
0.145693E+0009,0.203934E+0008
0.145680E+0009,0.204881E+0008
0.145667E+0009,0.205828E+0008
0.145654E+0009,0.206775E+0008
0.145641E+0009,0.207721E+0008
0.145627E+0009,0.208668E+0008
0.145614E+0009,0.209614E+0008
0.145601E+0009,0.210560E+0008
0.145587E+0009,0.211507E+0008
0.145573E+0009,0.212453E+0008
0.145560E+0009,0.213399E+0008
0.145546E+0009,0.214345E+0008
0.145532E+0009,0.215291E+0008
0.145519E+0009,0.216237E+0008
0.145505E+0009,0.217182E+0008
0.145491E+0009,0.218128E+0008
0.145477E+0009,0.219074E+0008
0.145463E+0009,0.220019E+0008
0.145449E+0009,0.220965E+0008
0.145435E+0009,0.221910E+0008
0.145420E+0009,0.222855E+0008
0.145406E+0009,0.223800E+0008
0.145392E+0009,0.224745E+0008
0.145377E+0009,0.225690E+0008
0.145363E+0009,0.226635E+0008
0.145349E+0009,0.227580E+0008
0.145334E+0009,0.228524E+0008
0.145319E+0009,0.229469E+0008
0.145305E+0009,0.230413E+0008
0.145290E+0009,0.231357E+0008
0.145275E+0009,0.232302E+0008
0.145260E+0009,0.233246E+0008
0.145245E+0009,0.234190E+0008
0.145230E+0009,0.235134E+0008
0.145215E+0009,0.236078E+0008
0.145200E+0009,0.237021E+0008
0.145185E+0009,0.237965E+0008
0.145170E+0009,0.238909E+0008
0.145154E+0009,0.239852E+0008
0.145139E+0009,0.240796E+0008
0.145124E+0009,0.241739E+0008
0.145108E+0009,0.242682E+0008
0.145093E+0009,0.243625E+0008
0.145077E+0009,0.244568E+0008
0.145061E+0009,0.245511E+0008
0.145046E+0009,0.246454E+0008
0.145030E+0009,0.247396E+0008
0.145014E+0009,0.248339E+0008
0.144998E+0009,0.249281E+0008
0.144982E+0009,0.250224E+0008
0.144966E+0009,0.251166E+0008
0.144950E+0009,0.252108E+0008
0.144934E+0009,0.253050E+0008
0.144918E+0009,0.253992E+0008
0.144901E+0009,0.254934E+0008
0.144885E+0009,0.255875E+0008
0.144869E+0009,0.256817E+0008
0.144852E+0009,0.257759E+0008
0.144836E+0009,0.258700E+0008
0.144819E+0009,0.259641E+0008
0.144803E+0009,0.260582E+0008
0.144786E+0009,0.261524E+0008
0.144769E+0009,0.262465E+0008
0.144752E+0009,0.263405E+0008
0.144736E+0009,0.264346E+0008
0.144719E+0009,0.265287E+0008
0.144702E+0009,0.266227E+0008
0.144685E+0009,0.267168E+0008
0.144667E+0009,0.268108E+0008
0.144650E+0009,0.269048E+0008
0.144633E+0009,0.269988E+0008
0.144616E+0009,0.270928E+0008
0.144598E+0009,0.271868E+0008
0.144581E+0009,0.272808E+0008
0.144564E+0009,0.273747E+0008
0.144546E+0009,0.274687E+0008
0.144529E+0009,0.275626E+0008
0.144511E+0009,0.276566E+0008
0.144493E+0009,0.277505E+0008
0.144475E+0009,0.278444E+0008
0.144458E+0009,0.279383E+0008
0.144440E+0009,0.280322E+0008
0.144422E+0009,0.281260E+0008
0.144404E+0009,0.282199E+0008
0.144386E+0009,0.283138E+0008
0.144368E+0009,0.284076E+0008
0.144349E+0009,0.285014E+0008
0.144331E+0009,0.285952E+0008
0.144313E+0009,0.286890E+0008
0.144294E+0009,0.287828E+0008
0.144276E+0009,0.288766E+0008
0.144258E+0009,0.289704E+0008
0.144239E+0009,0.290641E+0008
0.144220E+0009,0.291578E+0008
0.144202E+0009,0.292516E+0008
0.144183E+0009,0.293453E+0008
0.144164E+0009,0.294390E+0008
0.144145E+0009,0.295327E+0008
0.144127E+0009,0.296264E+0008
0.144108E+0009,0.297200E+0008
0.144089E+0009,0.298137E+0008
0.144069E+0009,0.299073E+0008
0.144050E+0009,0.300010E+0008
0.144031E+0009,0.300946E+0008
0.144012E+0009,0.301882E+0008
0.143993E+0009,0.302818E+0008
0.143973E+0009,0.303754E+0008
0.143954E+0009,0.304689E+0008
0.143934E+0009,0.305625E+0008
0.143915E+0009,0.306560E+0008
0.143895E+0009,0.307496E+0008
0.143875E+0009,0.308431E+0008
0.143856E+0009,0.309366E+0008
0.143836E+0009,0.310301E+0008
0.143816E+0009,0.311235E+0008
0.143796E+0009,0.312170E+0008
0.143776E+0009,0.313105E+0008
0.143756E+0009,0.314039E+0008
0.143736E+0009,0.314973E+0008
0.143716E+0009,0.315907E+0008
0.143696E+0009,0.316841E+0008
0.143675E+0009,0.317775E+0008
0.143655E+0009,0.318709E+0008
0.143635E+0009,0.319643E+0008
0.143614E+0009,0.320576E+0008
0.143594E+0009,0.321510E+0008
0.143573E+0009,0.322443E+0008
0.143552E+0009,0.323376E+0008
0.143532E+0009,0.324309E+0008
0.143511E+0009,0.325242E+0008
0.143490E+0009,0.326174E+0008
0.143469E+0009,0.327107E+0008
0.143448E+0009,0.328039E+0008
0.143427E+0009,0.328971E+0008
0.143406E+0009,0.329904E+0008
0.143385E+0009,0.330836E+0008
0.143364E+0009,0.331767E+0008
0.143343E+0009,0.332699E+0008
0.143322E+0009,0.333631E+0008
0.143300E+0009,0.334562E+0008
0.143279E+0009,0.335493E+0008
0.143257E+0009,0.336425E+0008
0.143236E+0009,0.337356E+0008
0.143214E+0009,0.338287E+0008
0.143193E+0009,0.339217E+0008
0.143171E+0009,0.340148E+0008
0.143149E+0009,0.341078E+0008
0.143127E+0009,0.342009E+0008
0.143106E+0009,0.342939E+0008
0.143084E+0009,0.343869E+0008
0.143062E+0009,0.344799E+0008
0.143040E+0009,0.345728E+0008
0.143017E+0009,0.346658E+0008
0.142995E+0009,0.347588E+0008
0.142973E+0009,0.348517E+0008
0.142951E+0009,0.349446E+0008
0.142928E+0009,0.350375E+0008
0.142906E+0009,0.351304E+0008
0.142883E+0009,0.352233E+0008
0.142861E+0009,0.353161E+0008
0.142838E+0009,0.354090E+0008
0.142816E+0009,0.355018E+0008
0.142793E+0009,0.355946E+0008
0.142770E+0009,0.356874E+0008
0.142747E+0009,0.357802E+0008
0.142724E+0009,0.358730E+0008
0.142702E+0009,0.359657E+0008
0.142679E+0009,0.360585E+0008
0.142655E+0009,0.361512E+0008
0.142632E+0009,0.362439E+0008
0.142609E+0009,0.363366E+0008
0.142586E+0009,0.364293E+0008
0.142563E+0009,0.365219E+0008
0.142539E+0009,0.366146E+0008
0.142516E+0009,0.367072E+0008
0.142492E+0009,0.367999E+0008
0.142469E+0009,0.368925E+0008
0.142445E+0009,0.369851E+0008
0.142422E+0009,0.370776E+0008
0.142398E+0009,0.371702E+0008
0.142374E+0009,0.372627E+0008
0.142350E+0009,0.373553E+0008
0.142326E+0009,0.374478E+0008
0.142302E+0009,0.375403E+0008
0.142278E+0009,0.376327E+0008
0.142254E+0009,0.377252E+0008
0.142230E+0009,0.378177E+0008
0.142206E+0009,0.379101E+0008
0.142182E+0009,0.380025E+0008
0.142157E+0009,0.380949E+0008
0.142133E+0009,0.381873E+0008
0.142109E+0009,0.382797E+0008
0.142084E+0009,0.383720E+0008
0.142060E+0009,0.384644E+0008
0.142035E+0009,0.385567E+0008
0.142010E+0009,0.386490E+0008
0.141986E+0009,0.387413E+0008
0.141961E+0009,0.388336E+0008
0.141936E+0009,0.389258E+0008
0.141911E+0009,0.390181E+0008
0.141886E+0009,0.391103E+0008
0.141861E+0009,0.392025E+0008
0.141836E+0009,0.392947E+0008
0.141811E+0009,0.393869E+0008
0.141786E+0009,0.394790E+0008
0.141761E+0009,0.395712E+0008
0.141735E+0009,0.396633E+0008
0.141710E+0009,0.397554E+0008
0.141684E+0009,0.398475E+0008
0.141659E+0009,0.399396E+0008
0.141633E+0009,0.400317E+0008
0.141608E+0009,0.401237E+0008
0.141582E+0009,0.402157E+0008
0.141556E+0009,0.403078E+0008
0.141531E+0009,0.403998E+0008
0.141505E+0009,0.404917E+0008
0.141479E+0009,0.405837E+0008
0.141453E+0009,0.406756E+0008
0.141427E+0009,0.407676E+0008
0.141401E+0009,0.408595E+0008
0.141375E+0009,0.409514E+0008
0.141349E+0009,0.410433E+0008
0.141322E+0009,0.411351E+0008
0.141296E+0009,0.412270E+0008
0.141270E+0009,0.413188E+0008
0.141243E+0009,0.414106E+0008
0.141217E+0009,0.415024E+0008
0.141190E+0009,0.415942E+0008
0.141164E+0009,0.416859E+0008
0.141137E+0009,0.417777E+0008
0.141110E+0009,0.418694E+0008
0.141084E+0009,0.419611E+0008
0.141057E+0009,0.420528E+0008
0.141030E+0009,0.421445E+0008
0.141003E+0009,0.422361E+0008
0.140976E+0009,0.423278E+0008
0.140949E+0009,0.424194E+0008
0.140922E+0009,0.425110E+0008
0.140895E+0009,0.426026E+0008
0.140867E+0009,0.426941E+0008
0.140840E+0009,0.427857E+0008
0.140813E+0009,0.428772E+0008
0.140785E+0009,0.429687E+0008
0.140758E+0009,0.430602E+0008
0.140730E+0009,0.431517E+0008
0.140703E+0009,0.432432E+0008
0.140675E+0009,0.433346E+0008
0.140647E+0009,0.434260E+0008
0.140619E+0009,0.435174E+0008
0.140592E+0009,0.436088E+0008
0.140564E+0009,0.437002E+0008
0.140536E+0009,0.437915E+0008
0.140508E+0009,0.438829E+0008
0.140480E+0009,0.439742E+0008
0.140452E+0009,0.440655E+0008
0.140424E+0009,0.441568E+0008
0.140395E+0009,0.442480E+0008
0.140367E+0009,0.443393E+0008
0.140339E+0009,0.444305E+0008
0.140310E+0009,0.445217E+0008
0.140282E+0009,0.446129E+0008
0.140253E+0009,0.447040E+0008
0.140225E+0009,0.447952E+0008
0.140196E+0009,0.448863E+0008
0.140167E+0009,0.449774E+0008
0.140139E+0009,0.450685E+0008
0.140110E+0009,0.451596E+0008
0.140081E+0009,0.452507E+0008
0.140052E+0009,0.453417E+0008
0.140023E+0009,0.454327E+0008
0.139994E+0009,0.455237E+0008
0.139965E+0009,0.456147E+0008
0.139936E+0009,0.457057E+0008
0.139906E+0009,0.457966E+0008
0.139877E+0009,0.458875E+0008
0.139848E+0009,0.459784E+0008
0.139818E+0009,0.460693E+0008
0.139789E+0009,0.461602E+0008
0.139760E+0009,0.462510E+0008
0.139730E+0009,0.463419E+0008
0.139700E+0009,0.464327E+0008
0.139671E+0009,0.465235E+0008
0.139641E+0009,0.466142E+0008
0.139611E+0009,0.467050E+0008
0.139581E+0009,0.467957E+0008
0.139551E+0009,0.468864E+0008
0.139521E+0009,0.469771E+0008
0.139491E+0009,0.470678E+0008
0.139461E+0009,0.471585E+0008
0.139431E+0009,0.472491E+0008
0.139401E+0009,0.473397E+0008
0.139371E+0009,0.474303E+0008
0.139340E+0009,0.475209E+0008
0.139310E+0009,0.476115E+0008
0.139280E+0009,0.477020E+0008
0.139249E+0009,0.477925E+0008
0.139218E+0009,0.478830E+0008
0.139188E+0009,0.479735E+0008
0.139157E+0009,0.480639E+0008
0.139127E+0009,0.481544E+0008
0.139096E+0009,0.482448E+0008
0.139065E+0009,0.483352E+0008
0.139034E+0009,0.484256E+0008
0.139003E+0009,0.485159E+0008
0.138972E+0009,0.486063E+0008
0.138941E+0009,0.486966E+0008
0.138910E+0009,0.487869E+0008
0.138879E+0009,0.488772E+0008
0.138847E+0009,0.489674E+0008
0.138816E+0009,0.490577E+0008
0.138785E+0009,0.491479E+0008
0.138753E+0009,0.492381E+0008
0.138722E+0009,0.493282E+0008
0.138690E+0009,0.494184E+0008
0.138659E+0009,0.495085E+0008
0.138627E+0009,0.495986E+0008
0.138595E+0009,0.496887E+0008
0.138564E+0009,0.497788E+0008
0.138532E+0009,0.498689E+0008
0.138500E+0009,0.499589E+0008
0.138468E+0009,0.500489E+0008
0.138436E+0009,0.501389E+0008
0.138404E+0009,0.502289E+0008
0.138372E+0009,0.503188E+0008
0.138340E+0009,0.504087E+0008
0.138308E+0009,0.504987E+0008
0.138275E+0009,0.505885E+0008
0.138243E+0009,0.506784E+0008
0.138211E+0009,0.507683E+0008
0.138178E+0009,0.508581E+0008
0.138146E+0009,0.509479E+0008
0.138113E+0009,0.510377E+0008
0.138080E+0009,0.511274E+0008
0.138048E+0009,0.512172E+0008
0.138015E+0009,0.513069E+0008
0.137982E+0009,0.513966E+0008
0.137949E+0009,0.514862E+0008
0.137917E+0009,0.515759E+0008
0.137884E+0009,0.516655E+0008
0.137851E+0009,0.517551E+0008
0.137817E+0009,0.518447E+0008
0.137784E+0009,0.519343E+0008
0.137751E+0009,0.520238E+0008
0.137718E+0009,0.521134E+0008
0.137685E+0009,0.522029E+0008
0.137651E+0009,0.522924E+0008
0.137618E+0009,0.523818E+0008
0.137584E+0009,0.524713E+0008
0.137551E+0009,0.525607E+0008
0.137517E+0009,0.526501E+0008
0.137484E+0009,0.527394E+0008
0.137450E+0009,0.528288E+0008
0.137416E+0009,0.529181E+0008
0.137382E+0009,0.530074E+0008
0.137348E+0009,0.530967E+0008
0.137315E+0009,0.531860E+0008
0.137281E+0009,0.532752E+0008
0.137247E+0009,0.533644E+0008
0.137212E+0009,0.534536E+0008
0.137178E+0009,0.535428E+0008
0.137144E+0009,0.536320E+0008
0.137110E+0009,0.537211E+0008
0.137075E+0009,0.538102E+0008
0.137041E+0009,0.538993E+0008
0.137007E+0009,0.539884E+0008
0.136972E+0009,0.540774E+0008
0.136938E+0009,0.541664E+0008
0.136903E+0009,0.542554E+0008
0.136868E+0009,0.543444E+0008
0.136834E+0009,0.544333E+0008
0.136799E+0009,0.545223E+0008
0.136764E+0009,0.546112E+0008
0.136729E+0009,0.547001E+0008
0.136694E+0009,0.547889E+0008
0.136659E+0009,0.548778E+0008
0.136624E+0009,0.549666E+0008
0.136589E+0009,0.550554E+0008
0.136554E+0009,0.551442E+0008
0.136519E+0009,0.552329E+0008
0.136483E+0009,0.553216E+0008
0.136448E+0009,0.554103E+0008
