mercury,Y,Venus,Y,Earth,Y,Mars,Y
4.59E+07,2.69E+06,1.07E+08,4.11E+06,1.47E+08,5.73E+06,2.06E+08,9.44E+06
4.59E+07,2.73E+06,1.07E+08,4.18E+06,1.47E+08,5.83E+06,2.06E+08,9.59E+06
4.59E+07,2.78E+06,1.07E+08,4.24E+06,1.47E+08,5.93E+06,2.06E+08,9.75E+06
4.59E+07,2.82E+06,1.07E+08,4.31E+06,1.47E+08,6.02E+06,2.06E+08,9.91E+06
4.59E+07,2.87E+06,1.07E+08,4.38E+06,1.47E+08,6.12E+06,2.06E+08,1.01E+07
4.59E+07,2.91E+06,1.07E+08,4.45E+06,1.47E+08,6.21E+06,2.06E+08,1.02E+07
4.59E+07,2.96E+06,1.07E+08,4.52E+06,1.47E+08,6.31E+06,2.06E+08,1.04E+07
4.59E+07,3.00E+06,1.07E+08,4.59E+06,1.47E+08,6.40E+06,2.06E+08,1.05E+07
4.59E+07,3.05E+06,1.07E+08,4.65E+06,1.47E+08,6.50E+06,2.06E+08,1.07E+07
4.59E+07,3.09E+06,1.07E+08,4.72E+06,1.47E+08,6.59E+06,2.06E+08,1.08E+07
4.59E+07,3.14E+06,1.07E+08,4.79E+06,1.47E+08,6.69E+06,2.06E+08,1.10E+07
4.59E+07,3.18E+06,1.07E+08,4.86E+06,1.47E+08,6.79E+06,2.06E+08,1.12E+07
4.59E+07,3.23E+06,1.07E+08,4.93E+06,1.47E+08,6.88E+06,2.06E+08,1.13E+07
4.59E+07,3.27E+06,1.07E+08,5.00E+06,1.47E+08,6.98E+06,2.06E+08,1.15E+07
4.59E+07,3.32E+06,1.07E+08,5.06E+06,1.47E+08,7.07E+06,2.06E+08,1.16E+07
4.59E+07,3.36E+06,1.07E+08,5.13E+06,1.47E+08,7.17E+06,2.06E+08,1.18E+07
4.59E+07,3.40E+06,1.07E+08,5.20E+06,1.47E+08,7.26E+06,2.06E+08,1.19E+07
4.59E+07,3.45E+06,1.07E+08,5.27E+06,1.47E+08,7.36E+06,2.06E+08,1.21E+07
4.59E+07,3.49E+06,1.07E+08,5.34E+06,1.47E+08,7.45E+06,2.06E+08,1.23E+07
4.59E+07,3.54E+06,1.07E+08,5.41E+06,1.47E+08,7.55E+06,2.06E+08,1.24E+07
4.59E+07,3.58E+06,1.07E+08,5.47E+06,1.47E+08,7.64E+06,2.06E+08,1.26E+07
4.59E+07,3.63E+06,1.07E+08,5.54E+06,1.47E+08,7.74E+06,2.06E+08,1.27E+07
4.59E+07,3.67E+06,1.07E+08,5.61E+06,1.47E+08,7.84E+06,2.06E+08,1.29E+07
4.59E+07,3.72E+06,1.07E+08,5.68E+06,1.47E+08,7.93E+06,2.06E+08,1.30E+07
4.59E+07,3.76E+06,1.07E+08,5.75E+06,1.47E+08,8.03E+06,2.06E+08,1.32E+07
4.59E+07,3.81E+06,1.07E+08,5.82E+06,1.47E+08,8.12E+06,2.06E+08,1.34E+07
4.59E+07,3.85E+06,1.07E+08,5.88E+06,1.47E+08,8.22E+06,2.06E+08,1.35E+07
4.59E+07,3.90E+06,1.07E+08,5.95E+06,1.47E+08,8.31E+06,2.06E+08,1.37E+07
4.59E+07,3.94E+06,1.07E+08,6.02E+06,1.47E+08,8.41E+06,2.06E+08,1.38E+07
4.59E+07,3.99E+06,1.07E+08,6.09E+06,1.47E+08,8.50E+06,2.06E+08,1.40E+07
